usernames,tweets,date_and_time,responders,tweet_replies,Responder_time_responder
Mdwptlka_,"Tenang, rasah sepaneng tenang",11/18/19 16:00,Halim02_ID,"Calm , slowmotion",11/18/19 16:20
yusufAp__,"Kalo dah ujian, seketika parkiran kampus full. Kuliah enggak, ujian masuk fix koe KTL",11/10/19 23:50,yuckgi,itu namanya strategi mencari celah mas. kita2 yg jarang masuk juga pen ujian :(,11/11/19 1:24
rizkyods,Fyi Dapet Ktm PTN top juga susah. Fyi Kuliah pake biaya sendiri susah. Fyi dapet beasiswa itu susah,11/9/19 0:41,_nobitanian_,Kaleum lur da hirup mah peurih ,11/9/19 3:15
cil_cillaa,Kebiasaan kalo beli martabak telur harus ada martabak manis nya juga ehehe ,11/7/19 4:23,ArifandiChandra,"Pantesan, makan yg manis teros ternyata.",11/7/19 4:41
wulandita_,Lama ga nanjak sekali pengen nanjak ke gunung slamet. eh masi tutup ya? sad ,11/5/19 3:27,yogandk,Mang enak,11/5/19 3:54
mariasbn_,ngerti koe di gatekke ro wong lio ki yo lara e. ning aku yo raiso opo2 :),11/1/19 6:50,Arisusnto_,dik yaya straay koffi ?,11/1/19 8:10
alfikrnwn,Matane koyo diganduli sapi sak pedet e,11/13/19 13:40,RazanArv13,Kok pedhet? Ngopo ra sek due wae,11/13/19 14:51
n_desilestari,Lebih tua/lebih muda? ,11/18/19 16:00,ichafauziah,Lebih tua ,11/18/19 16:20
julianamaulida_,Ada yang liat pacar saya ga? Siapa tau nyasar ke tl kalian :),11/10/19 23:35,Kembangtebu696,eh yang tadi pake kaos item bukan?,11/11/19 1:24
basabasi_store,SIAPA YANG HAMPIR TIAP MINGGU NYIMPEN PENGUMUMAN LOMBA-LOMBA NULIS TAPI GAK ADA SATU PUN YANG LOMBANYA DIIKUTIN. NGACUNG.,11/9/19 0:08,haalws,,11/9/19 2:48
cil_cillaa,Buat siapapun yang hari ini wisuda congratulation yahhhh  semoga ilmunya bermanfaat amin ,11/7/19 4:17,harrispam_,Kenapa kok gk hari minggu kmrn si bilangnya,11/7/19 4:53
cil_cillaa,Cowo kalo pedekate paling jagooo ya ,11/5/19 2:26,DennisWahyu035,Gimana bisa jago kalau yg di deketin hobi ngilang,11/5/19 2:35
andrea_admaja,Apa2an ngocok yuk jadi trending. Jadi sange kn,11/1/19 5:31,Meta1770,,11/1/19 8:10
yourspacewitch,"Subuh yang diiringi suara motor di kejauhan. Wanita itu terbangun lebih awal dari biasanya. Menghadap Tuhan yg tidak pernah lelap. Dengan doa-doa yg belum berubah, terus berulang, dan kian  Selepas sujud yang paling akhir; bertambah. Menyemogakan hati yg tak pernah menyemogakannya",11/13/19 13:37,yourspacewitch,Catatan pagi nomor 12: _ÑÒAnother Elegy_Ñù 04:21 14/11/2019,11/13/19 13:47
julianamaulida_,Kalo mainan hati ga lucu banget yaa !,11/10/19 23:28,donaadddd,LUCU NAAA,11/11/19 1:24
TaliUdeng,Haiki piye to.. Jare meh mengeksplore Kali Opak.. Malah mapan turu.. Kadang fakta tak seindah rencana..,11/8/19 23:56,Tikayulie,kali opak e berubah jd kali kapuk om ,11/9/19 2:48
yenchDeLuna,"Gak dosen pun kalo emang belum waktunya ketemu jodoh ya belum aja kak... Cuma kesel sih kalo bilang mau kuliah lagi pasti dibilangin 'jangan dulu lah, nanti makin g ada yg mau deketin'... Lah tuntutan profesi... Ntar kalo beneran kawin jg ujung2nya kan musti sekolah juga to?",11/7/19 4:05,Eyang1955,Yen.wu cowok apa cewek,11/7/19 4:53
julianamaulida_,Kegagalan adalah akhir perjuangan,11/5/19 1:03,diarhardi,Bukan nya awal cerita indah?,11/5/19 2:35
iniponieee,"Setelah dipikir-pikir kayaknya pulang kampung aja lah ya. Tiba2 random mkr ortu uda tua dll. Lagian kalo dirumah juga enak kok, palingan nyapu ngepel 10x dalam sehari, di omelin tiap hari tapi ku sayang ",11/1/19 5:16,oohakupergi,Ih sama von. Skrg baru ngerasain karna sudah jalannya masing2 jd kerasa uda ndak asil kea dulu dan memang tanah kelahiran sebosan apapun tp tetap betah banget dan sll rindu :(,11/1/19 8:10
arthv29,Bisa istighfar doang,11/13/19 13:09,goblognyablah,Bisa saling doain yekan?,11/13/19 13:47
Fauzanjadid,"Barang siapa yang bekerja dengan semangat, keringat dan air mata di hari senin, niscaya keesokan harinya adalah hari selasa. ",11/10/19 18:33,galihbch,@krisnahdytl kae lo rungokno,11/11/19 1:24
TaliUdeng,"Aku berharap nek week end ki TL isine foto2 liburan, tuitan syahdu membahana.. Jebulnya sami mawon.. Netijen do gas2an pulitak pulitik.. Ndak bosen po mbut?",11/8/19 21:11,TaliUdeng,Bojomu kang ban?,11/9/19 2:48
denantymustika," __Ñ                SEMOGA. Bagi yang sedang berjuang untuk menikah, semoga dimudahkan dan dilancarkan rizkinya.. Aamiinnn..",11/7/19 3:20,Fano1601,Aamiin,11/7/19 16:35
ilham_pasha10,Wanita cen melebihi FBI ,11/5/19 0:24,Fckrcko,Percoyooo bakul iwak asuoggg,11/5/19 2:35
marellazainenci,pengen menenggelamkan orang2 aneh dari kehidupanku,11/1/19 3:42,qtiiara,Penggantine bu susi,11/1/19 8:10
potekboi,dia aku,11/13/19 13:35,iampfauzan,Oh haha,11/13/19 13:35
crisaans,"Buat calon suami, mas ngga usah bedain jurusan kyk gini yaa, aku kira semua perempuan punya intuisi buat ngurus kamu dan keluarga kita. Toh wanita jaman sekarang sudah cerdasë_ wkwkwk",11/10/19 18:12,cheb0nk,Saya cari ahli waris,11/11/19 14:12
julianamaulida_,"""Mau ngajak aku ke mana weekend ini?"" ""Gak"" ""Yauda rebahan aja, banyak temennya kok :)""",11/8/19 20:16,danyidawer_,otewe,11/9/19 2:48
andrea_admaja,Imajinasi lebih penting daripada pengetahuan,11/7/19 2:33,shitautuh,Dasar manusia halu,11/7/19 16:35
cindeyrela,Ternyata perkataan seseorang bisa berpengaruh besar untuk kehidupan seseorang. Baik perkataan yang membangun atau yang membunuh sekalipun.,11/5/19 0:02,cindeyrela,Aku bisa se-tidak percaya diri itu sekarang akibat perkataan orang lain tentangku yang menurutku itu cukup menyakitkan dan selalu berputar di ingatanku.,11/5/19 0:06
rakaelpradhipt4,Kok le keminggris,11/1/19 2:45,widiyapl,Notifmu ra jebol rak? Wkkwwk,11/1/19 8:10
anggaprihantara,Seng kae ndi ? Wkwkwk,11/13/19 13:32,dimasdhutta,Wkwk kae teruss to mbah ,11/13/19 16:28
JogjaUpdate,selamat pagi ...semangat senin €,11/10/19 16:52,vevaW,Min ga ada info cpns 2019 pemkot jogja?,11/10/19 19:50
Yuniiinur,Bagaimana jika saat kamu kembali aku sudah tidak mencintaimu lagi?:),11/8/19 17:00,bonjodyson,Shooook kabeeeeeh ~,11/9/19 2:48
disyaer,"sebenernya kalo pada ngomongin aku, yang diomongin tu apanya to?",11/7/19 2:09,IhzaNurFalakh,PD banget mbaknya ,11/7/19 16:35
auliaaayz,Cowok ganteng kebanyakkan gay. Cowok jelek kebanyakkan sok ganteng kalo lagi cari pacar kek dirinya serasa justin bieber padahal dia buriq banget najisssssssssss. Betul apa betul?,11/4/19 23:53,auliaaayz,Fakboi parah itu mba wkwk,11/5/19 0:06
NenggPesekk_,"Bulan november tanggal siji . Bayaran bayaran , tanggal nom . utang e jo lali di saur :))",11/1/19 2:16,Saptono17200638,"bayaran 2,5 nyaur 2jta klenger dek",11/1/19 3:51
DaffaHs23," : sono tidur dah malem.  : gamau tidur, belom ngantuk.  : ............  : udah molor? hmm ditinggal molor.                  *Keesokan harinya*  : maap ketiduran. Sungguh, nikmat Tuhan mana lagi yang kau dustakan:)",11/13/19 13:32,iya_adam15,Kebiasaa Emang,11/13/19 16:28
cil_cillaa,Udah pagi nih gamau nyapa aku ? ,11/10/19 16:44,walk1nngdead,Pagii cillaaa. Have a nice day,11/10/19 16:45
arektwtsuroboyo,SUGENG ENJING REK. JOK LALI SARAPAN! KESEHATANMU LEBIH PENTING TEKO ANYTHING<3. WEEKEND IKI RENCANA KAPE NANG NDI? KHUSUS SING JOMBLO GAUSA MELOK KOMEN!!!! AKU ERO KON GA KIRO NANG NDI2 MEK REBAHAN KARO NANGIS NDELOK STORYNE DEE MLAKU KARO SING LIYO~~~~,11/8/19 16:12,grizzforlifee,"sombong location e kraton, admin ",11/9/19 2:48
tonybeton,Mbak meghan ,11/7/19 1:35,Masyarakatbias5,"Ha....ha...lho nanti di tusuk hio,kecuali lho jadi Kejawen",11/7/19 1:59
RyzkaSihite,"Jalan bahagiaku ya kamu. Kalau kamu cari jalan lain, Itu bukan lagi jalan bahagiaku. Sejak kapan, Berjalan _ÑÒmasing-masing_Ñù menjadi sebuah kebahagiaan? Tapi tetap saja,Jika kamu lebih memilih dia, Aku bisa apa? :)",11/4/19 23:50,sii_farhan,"kamu hanya bisa berlapang dada, dan mencoba menerima realita bahwa kamu dan dia bukan untuk bersama.",11/5/19 0:06
nonidwisa,YA ALLAH LANCARKANLAH REJEKI ORANGTUAKU AKU KELUARGAKU DAN TEMAN TEMANKU !,11/1/19 0:58,linggangautamaa,Aminnnn,11/1/19 3:51
Shadesofril,Pagii makasih yaa km juga,11/13/19 13:31,onthemoonn_,Sama sama ,11/13/19 13:32
benzbara_,assalamualaikum. sudah bangun kau dek?,11/10/19 16:39,Lalaras6,Sudah bang. Hari ini mau sarapan apa bang ?,11/10/19 16:54
milla_nadyatama,"Menjadi dewasa tdk tergantung usia. Pengendalian diri dan Pola pikir lah yg menntukan seseorang itu dewasa atau enggak nya. Satu point penting mnjdi dewasa, ""Berani menghargai kondisi diri kita sendiri"", dgn hal tsbt insyaallah orang lain dpt mengerti ttng kita.",11/8/19 16:11,milla_nadyatama,"""Berani menghargai kondisi diri kita sendiri"" hal tsbt membuat diri kita jauh lebih terbuka dengan org lain, sehingga memudahkan orang lain memahami kita. ""Especially hanya untuk orang yang sdng menjalin sebuah Realation ship"". Fyi, terbentuklah sebuah ""KENYAMANAN"" ",11/8/19 16:15
ghazali_____,: koe lak rapopo to bro ? : santaii .. Sugeng ndalu.   volume:  100%,11/7/19 0:57,cahyohanif,Kandanin kok,11/7/19 1:59
jeremyjeffryy,Semesta tolong beri aku jawaban kenapa 4 hari kemarin mendung sekarang panas???,11/4/19 23:39,salemoforlofe,Soalnya kemaren2 gua lgi sedih,11/5/19 0:06
hamidahdestiw23,Lampu merah sepanjang ringroad Jogja dimana?,10/31/19 22:43,payungmalam,Di sekitaran bekasi mbak,10/31/19 23:02
AniknikiNiki,Dewi Fortuna pasti akan datang...,11/13/19 13:25,sinefilth,"ah, masaaaaa",11/13/19 13:32
NenggPesekk_,"Cinta itu di hati . Bukan di profil atau di bio , paham ?",11/10/19 16:06,WtfBangsat,Di selakangan itu juga cinta,11/10/19 16:54
astrierani,Dukanya kalo ada persalinan itu melihat seorang suami yang memeluk dan mencium kening si istrinya :(,11/8/19 16:10,indahssnti,Kok duka??,11/8/19 16:15
bebebkumamabeth,Geek di akad e notaris waee,11/7/19 0:32,Dhul_Kemit,Okreeeeeeeeeee bendahara ngumum laksanaken,11/7/19 1:59
cil_cillaa,"Sapa nih yg sering bilang ""Kamu mirip mantanku"" ",11/4/19 21:57,bangsatriaaaaa,Kamu mirip tunanganku,11/4/19 22:00
Nrzqvitak,Haduh paling gabisa kalo bahas ayah langsung dah mewek,10/31/19 22:23,lthf_nurfaizi,Bahas zangmu wae wes,10/31/19 23:02
AsmaLiSaulung,gaktau ref.. tibaë_ aku dimarahin ika ,11/13/19 13:13,piscesikak,Kau layak mendapatkan itu wahai bujank. Haha,11/13/19 13:19
laksminarasitah,Ya Allah bareng doi lagi,11/10/19 16:04,laksminarasitah,"Tapi diem-dieman doang, aku udah males mau manggilnya...",11/10/19 16:05
aldrinyudha,Oke makaseh,11/8/19 16:00,IndiHome,"Sama-sama, Sobat. Jika masih berkendala, infokan kami kembali. Selamat beraktivitas. -Geni",11/8/19 16:03
aditpedet3,Karena saya tidak di rancang untuk mundur!,11/6/19 23:30,Rezaapratama_30,Aku maju alon alon~,11/7/19 1:59
NikenAmbarP,Di indo pengennya yg ptn sis. Mungkin jurusan yg persaingan tinggi juga. Tp otak tidak mampu. Jd gagal. Gengsi di pts. Akhirnya keluar negeri. Pdhl tu univ meskipun diluar negeri kualitasnya jauh dibawah dibanding indo.,11/4/19 21:54,Sheya_roussea,Padahal di pts uang semesterannya hampir sama dgn yg di luar,11/4/19 22:00
DaveMachs,Hari pertama : duh akhirnya hujan. Sebulan : Jancokkk Udan terosss ra nggowo mantol neehh,10/31/19 22:21,pitalokashinta,Wkwkkwkwwk yessss,10/31/19 23:02
thisisnotindah,"Maap heboh bgt ini emng, mana aku sempet mikir itu siluman soalnya dicari cari serumah awalnya gada tautau ngumpet dimesin cuci",11/13/19 13:11,thisisnotindah,Masih degdegan mikir kalo aku tadi dimakan uler gimana agagagaga,11/13/19 13:19
anthoniuschris2,"Bukan cuma sepakat Mak, tp sepaket jg...ayo kita nyalon jadi ketua RT...wkwkwk",11/10/19 16:04,mamiagarislucu,Aku jd bendahara yaaaaaa? ,11/10/19 16:08
JJRizal,secara tertutup sekaligus terbuka kekuasaan mengkreasi partai pemuda untuk mendekonstruksi en mengkreasi tafsir pemuda milenial yg padahal artinya sama sebangun dgn pemuda orba: pemuda daripada bapakisme,11/6/19 23:19,hajibarbarossa,Itu lah Pesona Indonesia Bang. En kita harus tetap cinta Tanah Air.,11/6/19 23:58
muhnofasaputra,PSS JARANG SENDIRI!,11/4/19 21:54,IngePutry,Cuma kamu yang masih sendiri ya mas?,11/4/19 22:00
SabrinaDesvia,Asu hawane pengen koe :(,10/31/19 22:06,BagusSetioAdi,:(,11/1/19 10:01
thisisnotindah,Guede bgt pula trs aku cuma bisa ngliatin sampe dia keluar trs aku lari manggil bpk ibuk,11/13/19 12:56,thisisnotindah,Gede nya setangan ak katanya bpk mau cari tikus soalnya kamarku kaya gudang trs ulernya nyasar hehehe sempet sempetnya bpkku ini,11/13/19 13:19
mariabellap_,Kolam apa dabsu hr ini?,11/10/19 16:03,SimanSMN,Dua duanya gassd,11/10/19 16:08
evacholifiana,"Saat teman-teman seusiamu sudah sibuk memikirkan kandunganya,anaknya suaminya,sedangkan kamu masih dipusingkan dengan kerjaan yang harus ganti sistem. Ya sudah disyukuri, Allah lebih tau kemampuanmu, mungkin kamu memang belum mampu kalau saat ini mengurus keluarga",11/6/19 22:52,evacholifiana,"jadi sekarang selesaikan dengan baik tugasmu, tak perlu iri dengan tugas orang lain ",11/6/19 22:53
LeonardusNovan,"Guys yang berencana punya anak plis ga usa jadi dokter, ribet ngurus sana sini, surat ini lah surat itu lah, bayar pula fck, gaji sama aja (kayaan juga bisnis), kalo alasan pekerjaan mulia -> setiap pekerjaan yg dilakukan sungguh2 itu mulia kok. terus hidup ga bahagia. bye",11/4/19 21:01,LeonardusNovan,"intiny do whatever makes you happy ya gaes kalo kalian happy jadi dokter, ya syukurlah hhh. bukan passion sy saja tp dah terlanjur kecemplung",11/6/19 7:58
SabrinaDesvia,Koe nak rumongso gagah mending dadi baliho wae mas!,10/31/19 20:54,samsulhd_,Mosok rung sido mangkat wes bali.ho ,10/31/19 20:56
Artzex,"Karena terlalu lama menunggu saya ketiduran, ada missed call di jam 00.14 WIB tidak tau itu dari petugas, atau dari siapa. Jadi saat ini, keluhan belum tertangani. ",11/13/19 13:24,pln_123,"Kak Abdillah, laporan perihal tsb telah admin koordinasikan kembali ke Unit PLN terkait dengan nomor lapor G5419111400345. Thanks. -Daus",11/13/19 13:19
anthoniuschris2,Nah itu dia mak,11/10/19 16:01,mamiagarislucu,"Spakat lagi kah, kita? ",11/10/19 16:08
PeterPascaRilo,"Sedari dulu cinta yang tak pasti akan pergi dengan sendirinya, akan di susul dengan cinta sejati selamanya.",11/6/19 22:35,makbakul__,amiin paling serius,11/6/19 22:53
nnkotva,Ada ngga yg males berangkat kerja karena merasa tdk cocok sm pekerjaan yg sdg dijalani?? :),11/4/19 20:49,Sandranandakh,Aku niii,11/6/19 7:58
rendyseptianas,"rasah ngoyo, meh ngoyak opo to",10/31/19 20:44,imaniaaufa,Ngoyak dee sek digandeng wong liooooo,10/31/19 20:56
elgowh,Ini kejadiannya deket rumah Pak Eko nu kayaknya ,11/13/19 13:22,ibnumalik26,Waduuuww,11/13/19 16:09
travellerkece,Good morning everyone. Jangan lupa bersyukur ,11/10/19 16:00,NdraQ,Rahajeng semeng ....,11/10/19 16:37
julianamaulida_,Aku kira gada chat gada notif. Ternyata notif di hp aku matiin :(( Pas aku idupin sama aja dong. GADA NOTIF! ,11/6/19 22:02,ehsiryaan,Percuma dong,11/6/19 22:53
PeterPascaRilo,Kenangan bersamamu dulu hampir nyaris tidak ada yang aku ingat selain waktu itu kamu membuat aku sedih berkepanjangan (menangis).,11/4/19 20:46,Anissss18_,Yaallah jiwa bucin ku timbul:(,11/4/19 22:05
julianamaulida_,November wish ? Wis sue ora nyawang opo koe isih sayang  :),10/31/19 20:25,rulyaku,mbok yo mutualan jul jul,10/31/19 21:43
pratmia,ada anu mbah ,11/13/19 13:19,radit_wibowo,heleeh  lancar lancar yaa,11/13/19 20:50
dickimahardika,ini mo nikah beres beres bongkar bongkar nemu barang barang lama. bahayaaa emang,11/6/19 20:05,babasbass,"Nek diambang ngancing lawang ngene iki, nek ono sing berusaha ndhodhog meneh ojo dibukakke.",11/6/19 22:53
NenggPesekk_,"Aku wes ora gagas kata luka , wes cukup wingi ra pengen mbaleni . matioooo ,",11/4/19 18:57,MasBro67187967,Neng OPO mba hehe,11/4/19 18:58
_riricantik,Penyebab mual mual apa?,10/31/19 20:24,billy_boled,Alhamdulillah kita punya anak,10/31/19 21:43
wisnongjr,Tips bahagia slur,11/13/19 13:17,benaokta_,bahagia itu kita yang ciptain bukan orang lain fren,11/13/19 20:50
ulinmaghfiroh,"Pengen urip irit? Tukuo aqua gelasan, banyune diombe gelase digawe ngemis.",11/6/19 20:03,Ari_setw,Tak jajale mngko.,11/6/19 22:53
MILITIA_PSS1976,H-1 PSSDAY NYENYET!!! ORA KOYO NEK PAS PSS KALAH.. RAME BGT BACOT2 NETIZEN€,11/4/19 18:37,StevaniFebri,"KEMBALI KEHABITATNYA hlh ora big match,wah kerjo ee ora oleh ijen,wah ssk skolah bali sore ora nyandak msang iyo mong 1/2 bbak ora greget,wah gek rak ndedet gek gee liyane duite,+ SAK IKI WES MUSIM UDAN + SSK LIVE INDOSIAR,,SMUA AKAN HEBOH DAN NGEGERI SAAT VS PERSIB,SABAR MIN ",11/4/19 18:58
Uki23,Mingkem memandangi kebodohan yang sedang dipamerkan dengan sok pintarnya. ,10/31/19 19:46,IshanMustami,Di ajak debat ini sama bapak @taufiqrus pinter ngetik doang kek bocah mobile legend lu... adu argumen sama org yg tepat bos,10/31/19 21:43
Lathifahpriyan,Apa sing arep dibanggake?,11/13/19 13:17,noersyamnoer2,"Isoh bertahan dinggo saat ini, awakmu kuat,ojo menghakimi awakmu terus,pisan pisan gawe pujian dinggo awakmu dewe men enek semangat e meneh",11/13/19 20:50
SabrinaDesvia,Faks lah ngenstots,11/6/19 19:52,Acinkkk,Kata kataku membekas yo wkwk ,11/6/19 22:53
Nugroho11Eko,Tugas wakil rakyat menjegal suara rakyat,11/4/19 18:32,albatrossah,"Ga menjegal om, kita aj yg salah beli ampli, suara ga sampe ke speaker",11/4/19 18:38
zumha_,Seduluran nek gadah perlu mawon. SEGAWON,10/31/19 19:46,devisbyntr,WKWKWKWKWK.,10/31/19 21:43
kekkekapaya_,lukis sendiri ? kaya gambarmu sg tak gawa kos,11/13/19 13:09,hamidahfitrii,"hooh, iya sini mana balikin",11/13/19 14:17
cil_cillaa,Pernah kepleset ?? Kalo iya dimanaa ??,11/6/19 18:57,afendot,Pernah di lapangan pas nendang pinalti,11/6/19 22:53
VeteranCampus,"Hari esok, Maguwo kembali memanggil kita untuk memberikan dukungan kepada sang super elja. Tak seperti kemaren yang berstatus sebagai tim tamu. Esok, kita sebagai sang empunya Maguwo.Tentunya keinginan kita masih sama,kemenangan.Membalaskan kekalahan 3-1 di Dipta akhir Juli lalu.",11/4/19 18:26,utomo16,Selalu hadir dimanapun @PSSleman berlaga. Opo meneh Home.,11/4/19 19:14
pasutyk,"maaf-maaf ya , video atau foto original punya aku semua , maaf-maaf ini saya foto sendiri / video sendiri. jangan sama2in dengan yang lain ya. kalau yang follow lama atau udah ketemu langsung sama aku pasti tau. kalau yang follow baru2 neh banding2in ke sebelah bikin males aja",10/31/19 19:13,siboy991,"dah cuekin aja, kl bandel block aja na ",10/31/19 21:43
devinpuji,"Noh kan kalah, nggak mainin gua sihh. Makanya mainin gua bapakkk :v",11/6/19 18:26,nawangwulaann,wong sombong gak suwe,11/6/19 22:53
shvlst,"Gak ngerti ya sama cewek gatel yg berkedok ""kan cuman temen"" Pangaaannnnnn",11/4/19 17:53,Sischadwita,HAJAR CUKKKKK HAJAR,11/4/19 19:14
bungjusuf,November wish : Kaya. Kaya. Nikah. Kaya. Kaya. Nikah. Kaya. Kaya. Surga.,10/31/19 18:37,manusiasan2y,ada orang dalam disurga bang?,10/31/19 22:45
Ariefnovian_,Thanks to Allah. Hingga hari ini bertambah usiaku dalam hitunganku dan berkurang dalam hitunganMu,11/6/19 17:24,pels2019,party selalu,11/6/19 22:53
ahmadNjemut,"Tangi esok i yo turu meneh, tangi esok kok kerjo hla aku udu pegawe negri og",11/4/19 16:59,livyamw,aku preii,11/4/19 19:14
ikalahude,itu namanya test HCG metode strip.  Jadi didalam stripnya itu ada antibody yg dimana nantinya kalau hamil akan terdeteksi hormon HCG tadi.  Lebih tepatnya ini prinsip kerjanya imunokromatografi.,10/31/19 17:48,titikrendah,Makasi ilmunyaaa,10/31/19 22:45
mdnandaaurelia,"Baru pengen upload foto sama temen atau keluarga, jangan baper ",11/6/19 17:08,n_barend,Biar ga keliatan kalo sendiri ya??,11/6/19 22:53
crisaans,Bangun pagi : Rapihin kamar. Cuci muka. Buka wa. Buka twitter. Sopo? Aku wkwk,11/4/19 16:51,LuqmanFahd,Aku pun haha,11/4/19 19:14
wulandita_,Mugo mugo udan lan angin ng awal bulan iki iso guang roso loro lan kuciwo sopo wae,10/31/19 17:31,Masmu15036483,Amin mbak,10/31/19 17:47
KatolikG,"Seorg gadis menyewa rumah. Suatu mlm listrik padam. Ia ke dapur  mengambil lilin. Tiba2 pintu rumah diketuk oleh anak klrg miskin. ""Kakak ada lilin?"" Di benaknya terngiang: ""Jgn pinjamkan. Nanti jadi kebiasaan"". ""TIDAK ADA"". ""Saya sudah duga kk tdk ada lilin. Ini ada 2 lilin.""",11/6/19 16:36,PFTee,"Janganlah menahan kebaikan dari pada orang-orang yang berhak menerimanya, padahal engkau mampu melakukannya.  Janganlah engkau berkata kepada sesamamu: _ÑÒPergilah dan kembalilah, besok akan kuberi,_Ñù sedangkan yang diminta ada padamu. Amsal 3:27-28 TB",11/6/19 22:53
julianamaulida_,Jempolnya suka khilaf. Maaf,11/4/19 16:20,Gunadi341_,Iyahh ngk pp,11/4/19 19:14
fajarjun,"Saat kampanye : pakai baju suporteran, ikut duduk di Tribun suporter, orasi menyatakan diri sbg suporter. Saat : langsung salahkan Suporter tanpa melihat secara lebih komprehensif. Pelajaran moral : Jangan pilih politisi yang memanfaatkan suporter sepakbola",10/31/19 17:23,fajarjun,"Padahal para suporter sepakbola itu ga melulu yang negatif (seperti para politikus sering berucap). Ada sisi positifnya, seperti para suporter itu sebenarnya telah membangun branding kota, ekosistem industri kreatif dan wisata sepakbola. sila tonton",11/1/19 19:42
IndahJuli,"Membiasakan diri baca buku 4 jam sehari, demi meminimalisir lupa dini.",11/6/19 16:22,triaayuk,"Trus, ketiduran nggak?",11/6/19 22:53
